Year-DOY,Year,DOY,Date,E_py,ETc_py,RAW_py,T_py,DP_py,Irrig_py,E,ETc,RAW,T,DP,Irrig
2017-135,2017,135,5/15/2017,0,1.105,27.2,1.105,0,0,8.02,9.13,26.16,1.1,0,0
2017-136,2017,136,5/16/2017,0,0.648,27.2,0.648,3.58,0,4.66,5.3,26.16,0.6,0,0
2017-137,2017,137,5/17/2017,4.156,5.375,21.59,1.22,0,0,9.05,10.27,26.16,1.2,0,0
2017-138,2017,138,5/18/2017,1.157,1.843,26.394,0.685,0,0,2.23,2.92,26.16,0.7,0,0
2017-139,2017,139,5/19/2017,0.353,0.734,27.2,0.381,0,0,1.07,1.45,26.16,0.4,0,0
2017-140,2017,140,5/20/2017,1.534,2.372,25.674,0.838,0,0,2.67,3.5,26.16,0.8,0,0
2017-141,2017,141,5/21/2017,1.372,2.134,25.998,0.762,0,0,1.1,1.86,26.16,0.8,0,0
2017-142,2017,142,5/22/2017,0.286,0.59,27.2,0.304,0,0,0.64,0.95,26.16,0.3,0,0
2017-143,2017,143,5/23/2017,1.257,1.828,26.414,0.572,0,0,1.02,1.59,26.16,0.6,0,0
2017-144,2017,144,5/24/2017,1.205,2.043,26.121,0.838,0,0,0.96,1.79,26.16,0.8,0,26.3
2017-145,2017,145,5/25/2017,0.871,2.091,26.056,1.22,0,0,9.02,10.24,26.16,1.2,0,0
2017-146,2017,146,5/26/2017,0.158,1.187,27.2,1.029,0,0,7.19,8.22,26.16,1,0,0
2017-147,2017,147,5/27/2017,0.068,1.249,27.2,1.18,0,0,2.88,4.06,26.16,1.2,0,0
2017-148,2017,148,5/28/2017,0.015,1.044,27.2,1.029,0,0,0.54,1.57,26.16,1,0,0
2017-149,2017,149,5/29/2017,0.005,0.881,27.2,0.876,0,0,0.15,1.03,26.16,0.9,0,0
2017-150,2017,150,5/30/2017,0.002,0.878,27.2,0.876,0,0,0.07,0.94,26.16,0.9,0,0
2017-151,2017,151,5/31/2017,0.001,0.954,27.2,0.952,0,0,0.03,0.98,26.16,1,0,27
2017-152,2017,152,6/1/2017,0,0.876,27.2,0.876,0,0,6.18,7.06,26.16,0.9,0,0
2017-153,2017,153,6/2/2017,0,0.153,27.2,0.153,0,0,0.99,1.14,26.16,0.2,1.3,0
2017-154,2017,154,6/3/2017,3.404,4.013,23.442,0.609,15.72,0,4.13,4.74,26.16,0.6,24.7,0
2017-155,2017,155,6/4/2017,4.977,5.701,21.146,0.725,0,0,4.93,5.65,26.16,0.7,0,0
2017-156,2017,156,6/5/2017,5.868,6.706,19.78,0.838,0,0,5.84,6.68,26.16,0.8,0,0
2017-157,2017,157,6/6/2017,4.352,5.267,21.737,0.915,0,0,6.02,6.93,26.16,0.9,0,0
2017-158,2017,158,6/7/2017,3.176,3.9,23.596,0.725,0,0,5.03,5.75,26.16,0.7,0,0
2017-159,2017,159,6/8/2017,4.776,5.462,21.472,0.685,0,0,4.76,5.45,26.16,0.7,0,0
2017-160,2017,160,6/9/2017,5.632,6.432,20.153,0.799,0,0,3.36,4.16,26.16,0.8,0,0
2017-161,2017,161,6/10/2017,3.793,4.822,22.343,1.029,0,0,2.18,3.21,26.16,1,0,0
2017-162,2017,162,6/11/2017,1.529,2.709,25.215,1.18,0,0,0.8,1.98,26.16,1.2,0,0
2017-163,2017,163,6/12/2017,0.397,1.616,26.702,1.22,0,23.48,0.17,1.39,26.16,1.2,0,0
2017-164,2017,164,6/13/2017,8.592,9.772,15.61,1.18,0,0,0.03,1.21,26.16,1.2,0,0
2017-165,2017,165,6/14/2017,8.519,9.699,15.709,1.18,0,0,0.01,1.19,26.16,1.2,0,0
2017-166,2017,166,6/15/2017,2.052,3.157,24.606,1.105,0,0,0,1.11,26.16,1.1,0,27.2
2017-167,2017,167,6/16/2017,0.718,1.938,26.265,1.22,0,24.25,8.8,10.02,26.16,1.2,0,0
2017-168,2017,168,6/17/2017,8.457,9.638,15.793,1.18,0,0,8.48,9.66,26.16,1.2,0,0
2017-169,2017,169,6/18/2017,5.056,5.78,21.039,0.725,0,0,1.22,1.94,26.16,0.7,0,0
2017-170,2017,170,6/19/2017,3.658,4.61,22.63,0.952,0,0,0.85,1.81,26.16,1,0,0
2017-171,2017,171,6/20/2017,1.582,2.572,25.401,0.99,0,0,0.35,1.34,26.16,1,0,0
2017-172,2017,172,6/21/2017,0.711,2.141,30.986,1.43,0,24.54,0.14,1.58,31.19,1.4,0,0
2017-173,2017,173,6/22/2017,6.213,7.644,25.621,1.431,0,0,0.03,1.46,36.22,1.4,0,0
2017-174,2017,174,6/23/2017,7.22,9.159,25.93,1.939,0,0,1,2.94,41.25,1.9,0,0
2017-175,2017,175,6/24/2017,3.459,5.369,38.212,1.91,0,0,1.18,3.09,46.28,1.9,0,0
2017-176,2017,176,6/25/2017,1.781,3.5,47.351,1.719,0,0,0.36,2.09,51.31,1.7,0,0
2017-177,2017,177,6/26/2017,0.877,2.694,54.355,1.817,0,0,0.17,1.99,56.34,1.8,0,0
2017-178,2017,178,6/27/2017,0.737,3.576,56.392,2.839,0,0,0.14,2.99,61.37,2.8,0,0
2017-179,2017,179,6/28/2017,0.341,4.012,59.51,3.671,0,0,0.06,3.74,66.4,3.7,0,0
2017-180,2017,180,6/29/2017,0.088,4.188,63.366,4.1,0,0,0.02,4.13,71.43,4.1,0,0
2017-181,2017,181,6/30/2017,0.012,2.82,73.265,2.808,0,0,1.35,4.17,76.47,2.8,0,0
2017-182,2017,182,7/1/2017,1.297,4.594,70.569,3.297,0,0,0.72,4.03,81.5,3.3,0,0
2017-183,2017,183,7/2/2017,0.491,3.093,81.68,2.602,0,0,0.27,2.88,86.53,2.6,0,0
2017-184,2017,184,7/3/2017,0.53,5.08,76.968,4.55,0,0,4.23,8.79,91.56,4.6,0,0
2017-185,2017,185,7/4/2017,2.848,6.637,73.381,3.788,0,0,2.81,6.61,96.59,3.8,0,0
2017-186,2017,186,7/5/2017,2.822,7.186,74.302,4.364,0,0,2.24,6.62,101.62,4.4,0,0
2017-187,2017,187,7/6/2017,2.205,6.798,80.129,4.594,0,0,1.1,5.71,106.65,4.6,0,0
2017-188,2017,188,7/7/2017,1.346,6.77,84.072,5.425,0,0,0.66,6.1,111.68,5.4,0,0
2017-189,2017,189,7/8/2017,0.517,5.355,96.445,4.838,0,0,0.25,5.1,116.71,4.9,0,0
2017-190,2017,190,7/9/2017,0.292,5.792,97.838,5.5,0,0,0.18,5.7,121.74,5.5,0,0
2017-191,2017,191,7/10/2017,0.213,6.413,97.787,6.2,0,0,0.1,6.32,126.77,6.2,0,0
2017-192,2017,192,7/11/2017,0.148,8.283,88.856,8.135,0,0,0.07,8.23,131.8,8.2,0,0
2017-193,2017,193,7/12/2017,0.044,8.25,92.48,8.206,0,0,0.02,8.26,136.83,8.2,0,0
2017-194,2017,194,7/13/2017,0.012,7.761,99.487,7.749,0,0,0.01,7.78,141.86,7.8,0,0
2017-195,2017,195,7/14/2017,0.003,6.7,111.116,6.697,0,0,0,6.72,146.89,6.7,0,0
2017-196,2017,196,7/15/2017,0.001,6.107,119.604,6.106,0,0,0,6.13,151.92,6.1,0,0
2017-197,2017,197,7/16/2017,0,6.317,121.853,6.317,0,0,0,6.34,156.96,6.3,0,0
2017-198,2017,198,7/17/2017,0,7.752,110.141,7.752,0,0,0,7.78,156.96,7.8,0,0
2017-199,2017,199,7/18/2017,0,8.035,107.837,8.034,0,0,0,8.07,156.96,8.1,0,0
2017-200,2017,200,7/19/2017,0,8.611,103.136,8.417,0,0,0,8.64,156.96,8.6,0,0
2017-201,2017,201,7/20/2017,0,8.893,100.831,7.774,0,0,0,8.93,156.96,8.9,0,0
2017-202,2017,202,7/21/2017,0,9.469,96.129,7.234,0,0,0,9.51,156.96,9.5,0,0
2017-203,2017,203,7/22/2017,0,8.611,103.137,6.418,0,0,0,8.64,156.96,8.6,0,0
2017-204,2017,204,7/23/2017,0,7.458,112.543,5.607,0,51,0.55,8.04,156.96,7.5,0,0
2017-205,2017,205,7/24/2017,0.305,7.198,114.664,6.893,0,0,0.24,7.15,156.96,6.9,0,0
2017-206,2017,206,7/25/2017,0.658,8.41,104.777,7.752,0,0,0.28,8.06,156.96,7.8,0,51
2017-207,2017,207,7/26/2017,1.003,9.614,94.953,8.611,0,0,0.9,9.55,156.96,8.6,0,0
2017-208,2017,208,7/27/2017,0.21,6.233,122.539,6.023,0,0,0.37,6.42,156.96,6,0,0
2017-209,2017,209,7/28/2017,0.092,6.409,121.104,6.317,0,0,0.27,6.6,156.96,6.3,0,0
2017-210,2017,210,7/29/2017,0.151,7.903,108.912,7.752,0,0,0.38,8.16,156.96,7.8,0,0
2017-211,2017,211,7/30/2017,0.03,5.194,131.02,5.164,0,0,0.08,5.26,156.96,5.2,0,0
2017-212,2017,212,7/31/2017,0.014,3.46,145.164,3.446,0,0,0.04,3.49,156.96,3.5,0,0
2017-213,2017,213,8/1/2017,0.007,2.018,156.933,2.011,0,0,0.04,2.06,156.96,2,0,0
2017-214,2017,214,8/2/2017,0.085,5.543,128.168,5.458,0,0,0.11,5.58,156.96,5.5,0,0
2017-215,2017,215,8/3/2017,0.088,6.405,121.136,6.317,0,51,0.18,6.52,156.96,6.3,0,0
2017-216,2017,216,8/4/2017,0.15,6.173,123.031,6.023,0,0,0.2,6.25,156.96,6,0,51
2017-217,2017,217,8/5/2017,0.8,9.693,94.304,8.893,0,0,1.19,10.12,156.96,8.9,0,0
2017-218,2017,218,8/6/2017,0.103,5.561,128.025,5.458,0,0,0.3,5.77,156.96,5.5,0,0
2017-219,2017,219,8/7/2017,0.362,5.244,130.61,4.882,0,0,0.3,5.19,156.96,4.9,0,0
2017-220,2017,220,8/8/2017,0.274,6.014,124.326,5.74,0,0,0.25,6.01,156.96,5.8,0,0
2017-221,2017,221,8/9/2017,0.324,6.347,121.609,6.023,0,0,0.25,6.3,156.96,6,0,0
2017-222,2017,222,8/10/2017,0.504,7.397,113.041,6.893,0,0,0.33,7.25,156.96,6.9,0,0
2017-223,2017,223,8/11/2017,0.118,5.576,127.897,5.458,0,0,0.24,5.71,156.96,5.5,0,0
2017-224,2017,224,8/12/2017,0.064,1.499,161.171,1.435,0,0,0.06,1.5,156.96,1.4,0,0
2017-225,2017,225,8/13/2017,0.165,3.894,141.625,3.729,0,0,0.17,3.91,156.96,3.7,0,0
2017-226,2017,226,8/14/2017,0.267,6.289,122.078,6.023,0,0,0.27,6.32,156.96,6,0,0
2017-227,2017,227,8/15/2017,0.203,4.791,134.307,4.588,0,0,0.2,4.81,156.96,4.6,0,0
2017-228,2017,228,8/16/2017,0.45,6.472,120.585,6.023,0,0,0.38,6.42,156.96,6,0,0
2017-229,2017,229,8/17/2017,0.254,5.994,124.486,5.74,0,0,0.25,6.01,156.96,5.8,0,0
2017-230,2017,230,8/18/2017,0.267,6.289,122.078,6.023,0,0,0.27,6.32,156.96,6,0,0
2017-231,2017,231,8/19/2017,0.281,6.88,117.256,6.599,0,0,0.25,6.87,156.96,6.6,0,0
2017-232,2017,232,8/20/2017,0.203,5.944,124.9,5.74,0,0,0.17,5.93,156.96,5.8,0,0
2017-233,2017,233,8/21/2017,0.204,6.803,117.888,6.599,0,0,0.17,6.79,156.96,6.6,0,0
2017-234,2017,234,8/22/2017,0.054,4.642,135.52,4.588,0,0,0.05,4.66,156.96,4.6,0,0
2017-235,2017,235,8/23/2017,0.031,3.478,145.023,3.446,0,0,0.03,3.49,156.96,3.5,0,0
2017-236,2017,236,8/24/2017,0.038,5.202,130.95,5.164,0,0,0.04,5.22,156.96,5.2,0,0
2017-237,2017,237,8/25/2017,0.015,2.886,149.853,2.87,0,0,0.13,3.01,156.96,2.9,0,0
2017-238,2017,238,8/26/2017,0.14,3.292,146.536,3.153,0,0,0.14,3.31,156.96,3.2,0,0
2017-239,2017,239,8/27/2017,0.229,5.393,129.396,5.164,0,0,0.23,5.41,156.96,5.2,0,0
2017-240,2017,240,8/28/2017,0.495,6.812,117.815,6.317,0,0,0.42,6.76,156.96,6.3,0,0
2017-241,2017,241,8/29/2017,0.438,6.461,120.677,6.023,0,0,0.33,6.38,156.96,6,0,0
2017-242,2017,242,8/30/2017,0.228,5.686,127.006,5.458,0,0,0.16,5.64,156.96,5.5,0,0
2017-243,2017,243,8/31/2017,0.122,5.286,130.266,5.164,0,0,0.09,5.27,156.96,5.2,0,0
2017-244,2017,244,9/1/2017,0.076,5.24,130.641,5.164,0,0,0.06,5.25,156.96,5.2,0,0
2017-245,2017,245,9/2/2017,0.049,4.637,135.563,4.588,0,0,0.05,4.66,156.96,4.6,0,0
2017-246,2017,246,9/3/2017,0.052,5.216,130.836,5.164,0,0,0.04,5.23,156.96,5.2,0,0
2017-247,2017,247,9/4/2017,0.075,6.098,123.643,6.023,0,0,0.05,6.1,156.96,6,0,0
2017-248,2017,248,9/5/2017,0.097,6.12,123.465,6.023,0,0,0.07,6.12,156.96,6,0,0
2017-249,2017,249,9/6/2017,0.028,5.192,131.032,5.164,0,0,0.02,5.2,156.96,5.2,0,0
2017-250,2017,250,9/7/2017,0.029,5.77,126.32,5.74,0,0,0.02,5.78,156.96,5.8,0,0
2017-251,2017,251,9/8/2017,0.023,6.046,124.066,6.023,0,0,0.02,6.06,156.96,6,0,0
2017-252,2017,252,9/9/2017,0.009,5.173,131.19,5.164,0,0,0.01,5.2,156.96,5.2,0,0
2017-253,2017,253,9/10/2017,0.01,4.597,135.886,4.588,0,0,0.01,4.61,156.96,4.6,0,0
2017-254,2017,254,9/11/2017,0.008,4.596,135.898,4.588,0,0,0,4.61,156.96,4.6,0,0
2017-255,2017,255,9/12/2017,0.006,4.311,138.222,4.305,0,0,0,4.32,156.96,4.3,0,0
2017-256,2017,256,9/13/2017,0.006,4.888,133.516,4.882,0,0,0,4.9,156.96,4.9,0,0
2017-257,2017,257,9/14/2017,0.01,6.903,117.071,6.893,0,0,0.01,6.92,156.96,6.9,0,0
2017-258,2017,258,9/15/2017,0.008,6.901,117.091,6.893,0,0,0,6.92,156.96,6.9,0,0
2017-259,2017,259,9/16/2017,0.002,4.589,135.951,4.588,0,0,0.01,4.62,156.96,4.6,0,0
2017-260,2017,260,9/17/2017,0.003,2.873,149.953,2.87,0,0,0.02,2.9,156.96,2.9,0,0
2017-261,2017,261,9/18/2017,0.044,4.632,135.606,4.588,0,51,0.27,4.88,156.96,4.6,0,0
2017-262,2017,262,9/19/2017,1.052,8.228,106.261,6.262,0,0,0.73,7.93,156.96,7.2,0,0
2017-263,2017,263,9/20/2017,0.408,7.008,116.218,5.862,0,0,0.27,6.9,156.96,6.6,0,51
2017-264,2017,264,9/21/2017,0.288,7.181,114.8,5.541,0,0,0.72,7.64,156.96,6.9,0,0
2017-265,2017,265,9/22/2017,0.15,6.172,123.033,4.9,0,0,0.63,6.68,156.96,6,0,0
2017-266,2017,266,9/23/2017,0.794,7.393,113.074,6.599,0,0,0.69,7.32,156.96,6.6,0,0
2017-267,2017,267,9/24/2017,0.261,4.284,138.44,4.023,0,0,0.14,4.17,156.96,4,0,0
2017-268,2017,268,9/25/2017,0.102,2.395,153.854,2.294,0,0,0.1,2.41,156.96,2.3,0,0
2017-269,2017,269,9/26/2017,0.051,1.204,163.2,1.153,0,0,0.05,1.2,156.96,1.2,0,0
2017-270,2017,270,9/27/2017,0.038,0.897,163.2,0.859,0,0,0.04,0.9,156.96,0.9,0,0
2017-271,2017,271,9/28/2017,0.189,3.341,146.134,3.153,0,0,0.15,3.32,156.96,3.2,0,0
2017-272,2017,272,9/29/2017,0.153,3.599,144.029,3.446,0,0,0.15,3.61,156.96,3.5,0,0
2017-273,2017,273,9/30/2017,0.127,2.997,148.943,2.87,0,0,0.13,3.01,156.96,2.9,0,0
2017-274,2017,274,10/1/2017,0.602,5.766,126.347,5.164,0,0,0.53,5.72,156.96,5.2,0,0
2017-275,2017,275,10/2/2017,0.779,6.52,120.198,5.74,0,0,0.69,6.45,156.96,5.8,0,0
2017-276,2017,276,10/3/2017,0.166,3.613,143.919,3.446,0,0,0.14,3.59,156.96,3.5,0,0
2017-277,2017,277,10/4/2017,0.029,1.182,163.2,1.153,0,0,0.05,1.2,156.96,1.2,0,0
2017-278,2017,278,10/5/2017,0.102,2.395,153.854,2.294,0,0,0.1,2.41,156.96,2.3,0,0
2017-279,2017,279,10/6/2017,0.516,5.398,129.356,4.882,0,0,0.44,5.33,156.96,4.9,0,0
2017-280,2017,280,10/7/2017,0.321,4.626,135.648,4.305,0,0,0.29,4.61,156.96,4.3,0,0
2017-281,2017,281,10/8/2017,0.608,5.772,126.303,5.164,0,0,0.55,5.73,156.96,5.2,0,0
2017-282,2017,282,10/9/2017,0.504,4.809,134.159,4.305,0,0,0.44,4.76,156.96,4.3,0,0
2017-283,2017,283,10/10/2017,0.386,4.115,139.82,3.729,0,0,0.34,4.08,156.96,3.7,0,0
2017-284,2017,284,10/11/2017,0.128,2.999,148.932,2.87,0,0,0.11,2.99,156.96,2.9,0,0
2017-285,2017,285,10/12/2017,0.435,5.599,127.712,5.164,0,0,0.39,5.57,156.96,5.2,0,0
2017-286,2017,286,10/13/2017,0.185,4.773,134.45,4.588,0,0,0.16,4.77,156.96,4.6,0,0
2017-287,2017,287,10/14/2017,0.302,5.273,130.37,4.972,0,0,0.49,5.48,156.96,5,0,0
2017-288,2017,288,10/15/2017,0.418,4.141,139.612,3.723,0,0,0.32,4.05,156.96,3.7,0,0
2017-289,2017,289,10/16/2017,0.219,3.019,148.763,2.8,0,0,0.18,2.99,156.96,2.8,0,0
2017-290,2017,290,10/17/2017,0.368,4.031,140.509,3.663,0,0,0.29,3.96,156.96,3.7,0,0
2017-291,2017,291,10/18/2017,0.451,5.121,131.615,4.67,0,0,0.35,5.04,156.96,4.7,0,0
2017-292,2017,292,10/19/2017,0.231,3.793,142.453,3.561,0,0,0.18,3.75,156.96,3.6,0,0
2017-293,2017,293,10/20/2017,0.155,2.911,149.65,2.756,0,51,0.12,2.88,156.96,2.8,0,0
2017-294,2017,294,10/21/2017,0.093,2.107,156.21,2.014,0,0,1.15,3.17,156.96,2,0,0
2017-295,2017,295,10/22/2017,1.28,3.375,145.863,2.094,0,0,1.26,3.36,156.96,2.1,0,0
2017-296,2017,296,10/23/2017,1.778,4.116,139.811,2.338,0,0,1.75,4.09,156.96,2.3,0,0
2017-297,2017,297,10/24/2017,2.007,4.206,139.081,2.199,0,0,1.98,4.18,156.96,2.2,0,0
2017-298,2017,298,10/25/2017,2.469,4.848,133.841,2.379,0,0,2.24,4.63,156.96,2.4,0,0
